Model,data_BoTIoT.csv_AUCROC,data_BoTIoT.csv_AUCPR,data_BoTIoT.csv_Accuracy,data_BoTIoT.csv_MCC,data_BoTIoT.csv_F1 Score,data_CICIoT2023.csv_AUCROC,data_CICIoT2023.csv_AUCPR,data_CICIoT2023.csv_Accuracy,data_CICIoT2023.csv_MCC,data_CICIoT2023.csv_F1 Score,data_N_BaIoT.csv_AUCROC,data_N_BaIoT.csv_AUCPR,data_N_BaIoT.csv_Accuracy,data_N_BaIoT.csv_MCC,data_N_BaIoT.csv_F1 Score,data_ToNIoT.csv_AUCROC,data_ToNIoT.csv_AUCPR,data_ToNIoT.csv_Accuracy,data_ToNIoT.csv_MCC,data_ToNIoT.csv_F1 Score
ourmodel,95.32026989336006,99.290997673799,93.82857142857142,0.580116892506336,0.9666769515581612,94.07480207590508,99.74068432841648,97.01428571428572,0.3661184493567572,0.984845188891306,95.96369115605096,99.5515640689168,98.0,0.8776955338782442,0.9890178851584562,83.2943676309805,97.2471772205754,89.18571428571428,0.3315862797431353,0.9428377255908782
AE1SVM,78.94936149,97.08267687,55.82857143,0.241503452,0.680842279,98.77854217970034,99.72299564,91.85714286,0.384424371824595,0.956214472,93.36188758,98.43792698,88.97142857,0.590623493,0.935901694,74.66544019371983,95.48480353616932,66.8,0.1529521274232965,0.7734451160070189
ALAD,50.5641405,90.48407361,17.65714286,-0.010238983,0.176806627,51.7427384,96.556066,13.47142857,0.028323885,0.195937873,48.01406469,90.54760826,19.78571429,0.020922709,0.219596942,48.114984459434666,88.52145175762945,18.728571428571428,0.019470137028178,0.1744304164852706
AutoEncoder,79.98053211,97.17851195,54.71428571,0.23901876,0.669722859,98.77854217970034,104.7277185448373,94.55714286,0.384424371824595,0.971164762,94.28839523,98.36964394,96.42857143,0.807819767,0.98011454,75.50513388996336,95.75817035708522,72.48571428571428,0.1690501961885242,0.819527736131934
CBLOF,79.7976283,97.17012841,54.71428571,0.236686525,0.669929196,69.5107628,99.56677339,89.27142857,0.384424371824595,0.941642707,93.83465101,98.2534604,95.87142857,0.78602176,0.976929832,78.17676934446594,96.65801978651452,54.842857142857135,0.2560126044733389,0.664828756229456
COPOD,71.63609565,95.04269906,19.44285714,0.097617612,0.193391503,92.45065908,99.69240213,21.58571429,0.084154701,0.318051932,91.24896681,97.97697388,22.78571429,0.083402085,0.263724288,77.8599200171916,95.59543286401124,24.785714285714285,0.0968436228739445,0.2668152067957108
DeepSVDD,72.82178608,96.02863676,45.84285714,0.189204785,0.577227612,94.06658369,99.52754625,76.9,0.273140971,0.864968685,90.20225437,98.23024533,79.31428571,0.430731571,0.87291557,70.62415942051774,94.87941067482014,61.22857142857144,0.162224805281587,0.7259693053311793
DevNet,50.93255972,91.7382317,28.0,0.074636745,0.348163476,54.5032294,97.33796552,22.4,0.040481942,0.333169654,50.92693665,92.94789496,35.08571429,0.120491259,0.451075139,50.401664648751776,89.90388669010213,22.5,0.0326148637941058,0.2396636299929923
ECOD,78.04659465,96.50980436,21.41428571,0.119562072,0.226844694,98.77854217970034,104.7277185448373,19.6,0.07695196,0.28831563,93.76403204,98.48060959,21.37142857,0.08358202,0.238306117,87.45908601252953,96.58224754420876,26.54285714285714,0.1327449982659966,0.2942629700796047
HBOS,67.75127969,94.44885301,32.2,0.096561528,0.409554616,89.42284342,99.46849186,87.0,0.245516958,0.92858264,92.69831229,98.1620522,88.98571429,0.585577562,0.936074952,66.52205816836224,93.54338572736576,56.39999999999999,0.0392902939889798,0.6798825256975035
IForest,74.42439365,95.8921649,38.64285714,0.13428521,0.494289415,98.77854217970034,104.7277185448373,83.44285714,0.249459214,0.906645187,92.72292049,98.15810366,86.78571429,0.550118121,0.922183898,79.75013496443752,96.50356290075436,65.35714285714286,0.2075252094876422,0.7612484001181451
